key,compound,role,MW_g_per_mol,density_g_per_mL,state_at_RT,k_oh_298,overall_mass_pct,within_solution_mass_fraction
guaiacol,Guaiacol,A,124.139,1.112,solid,2.98e-11,3.9,0.127036
o_cresol,o-Cresol,A,108.14,1.05,liquid,4.113e-11,2.1,0.068404
catechol,Catechol,A,110.112,1.0,solid,2.322e-11,1.8,0.058632
creosol,Creosol,A,138.166,1.092,liquid,3.975e-11,1.8,0.058632
phenol,Phenol,A,94.113,1.0,solid,2.8e-12,2.7,0.087948
eucalyptol,"Eucalyptol (1,8-cineole)",A,154.253,0.9225,liquid,1.11e-11,0.5,0.016287
furfural,2-furfural,A,96.085,1.16,liquid,3.742e-11,2.9,0.094463
methylfurfural,5-methyl-furfural,A,110.112,1.11,liquid,5.183e-11,1.8,0.058632
furfuryl_alcohol,2-furanmethanol,A,98.101,1.13,liquid,1.04e-10,1.7,0.055375
furanone,2(3H)-Furanone,A,84.074,1.209,liquid,5.658e-11,3.5,0.114007
furan,Furan,A,68.075,0.94,liquid,4.9e-11,2.6,0.084691
hmf,5-(hydroxymethyl)-2-furfural,A,126.111,1.0,solid,5.343e-11,2.8,0.091205
methylfuran,2-methylfuran,A,82.102,0.91,liquid,7.31e-11,1.6,0.052117
dimethylfuran,"2,5-dimethylfuran",A,96.129,0.905,liquid,1.299e-10,1.0,0.032573
a_pinene,a-pinene,B,136.238,0.858,liquid,5.253e-11,4.4,0.494104
benzene,benzene,B,78.114,0.876,liquid,1.216e-12,1.3,0.145985
toluene,Toluene,B,92.141,0.867,liquid,5.633e-12,1.4,0.157215
isoprene,Isoprene,B,68.119,0.681,liquid,9.994e-11,0.8,0.089837
ethylbenzene,Ethyl Benzene,B,106.168,0.87,liquid,7e-12,0.05,0.005615
m_xylene,m-xylene,B,106.168,0.868,liquid,2.3e-11,0.34,0.038181
o_xylene,o-xylene,B,106.168,0.88,liquid,1.4e-11,0.115,0.012914
caryophyllene,b-caryophyllene,B,204.357,0.91,liquid,1.97e-10,0.5,0.056148
methanol,Methanol,C,32.042,0.79,liquid,9.112e-13,4.2,0.207407
acetaldehyde,Acetaldehyde,C,44.053,0.784,liquid,1.496e-11,3.6,0.177778
acrolein,Acrolein,C,56.064,0.84,liquid,2e-11,3.0,0.148148
methyl_acetate,Methyl Acetate,C,74.079,0.934,liquid,3.475e-13,0.864706,0.042702
hydroxyacetone,Hydroxy Acetone,C,74.079,1.08,liquid,2.694e-12,1.235294,0.061002
butanedione,"2,3-butanedione",C,86.09,0.983,liquid,2.04e-13,1.7,0.083951
acetone,Acetone,C,58.08,0.79,liquid,1.752e-13,1.6,0.079012
mvk,MVK,C,70.091,0.83,liquid,2.014e-11,0.624,0.030815
macr,MACR,C,70.091,0.83,liquid,2.863e-11,0.247,0.012198
crotonaldehyde,Crotonaldehyde,C,70.091,0.85,liquid,1.34e-10,0.429,0.021185
methylglyoxal,Methyl Glyoxal,C,72.063,1.046,liquid,1.5e-11,1.15,0.05679
methyl_methacrylate,Methyl methacrylate,C,100.117,0.94,liquid,1.834e-11,0.6,0.02963
acetonitrile,acetonitrile,C,41.053,0.786,liquid,2.2e-14,0.5,0.024691
mek,MEK,C,72.107,0.805,liquid,1.109e-12,0.5,0.024691
acetic_acid,Acetic Acid,D,60.052,1.05,liquid,6.22e-13,5.829,0.730543
formic_acid,Formic Acid,D,46.025,1.22,liquid,5.12e-13,1.0,0.125329
acrylic_acid,Acrylic acid,D,72.063,1.051,liquid,9.725e-12,1.15,0.144128
propene,Propene,gas,42.081,,gas,2.63e-11,2.9,
ethene,Ethene,gas,28.054,,gas,8.5e-12,1.9,
acetylene,acetylene,gas,26.038,,gas,7.8e-13,1.3,
